,country,year,metier,matchto,Comment
129,NL,2009,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
130,NL,2009,SSC_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
131,NL,2009,SSC_DEF_0_0_0_all,GNS_DEF_10-30_0_0_all,
132,NL,2009,SSC_DEF_32-69_0_0_all,SSC_DEF_70-99_0_0_all,
133,NL,2010,GNS_DEF_all_0_0_all,GNS_DEF_120-219_0_0_all,
134,NL,2010,GTN_UND_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
135,NL,2010,GTR_DEF_>0_0_0_all,GTR_DEF_120-219_0_0_all,
136,NL,2010,GTR_DEF_100-119_0_0_all,GTR_DEF_120-219_0_0_all,
137,NL,2010,MIS_MIS_0_0_all,MIS_MIS_0_0_0_HC,
138,NL,2010,OTB_DEF_0_0_0_all,OTB_CRU_70-99_0_0_all,
139,NL,2010,OTB_DEF_90-119_0_0_all,OTB_DEF_100-119_0_0_all,
140,NL,2010,OTB_MCD_>0_0_0_all,OTB_DEF_>=120_0_0_all,
141,NL,2010,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
142,NL,2010,OTT_DEF_>0_0_0_all,OTB_DEF_>=120_0_0_all,
143,NL,2010,SDN_DEF_>0_0_0_all,SDN_DEF_>=120_0_0_all,
144,NL,2010,SSC_DEF_>=120_0_0_all,SDN_DEF_>=120_0_0_all,
145,NL,2010,SSC_DEF_UND_0_0_all,SDN_DEF_>=120_0_0_all,
146,NL,2010,TBB_DEF_70-89_0_0_all,TBB_DEF_70-99_0_0_all,
147,NL,2010,TBB_MCD_16-31_0_0_all,TBB_CRU_16-31_0_0_all,
148,NL,2010,TBB_MCD_70-99_0_0_all,TBB_DEF_70-99_0_0_all,
149,NL,2011,GNS_DEF_all_0_0_all,GNS_DEF_120-219_0_0_all,
150,NL,2011,GNS_MCD_100-119_0_0_all,GNS_DEF_100-119_0_0_all,
151,NL,2011,GNS_MCD_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
152,NL,2011,GTR_DEF_10-30_0_0_all,MIS_MIS_0_0_0_HC,
153,NL,2011,GTR_DEF_50-70_0_0_all,MIS_MIS_0_0_0_HC,
154,NL,2011,GTR_DEF_90-99_0_0_all,GNS_DEF_90-99_0_0_all,
155,NL,2011,OTB_MCD_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
156,NL,2011,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
157,NL,2011,SDN_DEF_100-119_0_0_all,MIS_MIS_0_0_0_HC,
158,NL,2011,SSC_DEF_>=120_0_0_all,SDN_DEF_>=120_0_0_all,
159,NL,2011,TBB_CRU_16-31_0_0_all_FDF,TBB_CRU_16-31_0_0_all,
160,NL,2011,TBB_MCD_>=120_0_0_all,TBB_DEF_>=120_0_0_all,
161,NL,2011,TBB_MCD_16-31_0_0_all,TBB_CRU_16-31_0_0_all,
162,NL,2011,TBB_MCD_70-99_0_0_all,TBB_DEF_70-99_0_0_all,
163,NL,2012,AG_UND_UND_0_0_all,MIS_MIS_0_0_0_HC,
164,NL,2012,GNS_DEF_10-30_0_0_all,GNS_DEF_all_0_0_all,
165,NL,2012,GTN_UND_90-99_0_0_all,GTR_DEF_all_0_0_all,
166,NL,2012,GTR_DEF_100-119_0_0_all,GNS_DEF_100-119_0_0_all,
167,NL,2012,GTR_DEF_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
168,NL,2012,GTR_DEF_120-219_0_0_all_FDF,GNS_DEF_120-219_0_0_all,
169,NL,2012,GTR_DEF_90-99_0_0_all,GTR_DEF_all_0_0_all,
170,NL,2012,OTB_MCD_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
171,NL,2012,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
172,NL,2012,SDN_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
173,NL,2012,SSC_DEF_>=120_0_0_all_FDF,SSC_DEF_>=120_0_0_all,
174,NL,2012,SSC_DEF_UND_0_0_all,SSC_DEF_70-99_0_0_all,
175,NL,2012,SSC_DEF_UND_0_0_all_FDF,SSC_DEF_70-99_0_0_all,
176,NL,2012,TBB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
177,NL,2012,TBB_CRU_16-31_0_0_all_FDF,MIS_MIS_0_0_0_HC,
178,NL,2012,TBB_MCD_70-99_0_0_all,TBB_DEF_70-99_0_0_all,
179,NL,2013,GNS_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
180,NL,2013,GNS_DEF_100-119_0_0_all_FDF,SSC_DEF_100-119_0_0_all,
181,NL,2013,GNS_DEF_10-30_0_0_all,SSC_DEF_100-119_0_0_all,
182,NL,2013,GNS_DEF_all_0_0_all,GNS_DEF_120-219_0_0_all,
183,NL,2013,GNS_DEF_all_0_0_all_FDF,GNS_DEF_120-219_0_0_all,
184,NL,2013,GTR_DEF_10-30_0_0_all,GNS_DEF_120-219_0_0_all,
185,NL,2013,GTR_DEF_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
186,NL,2013,GTR_DEF_90-99_0_0_all,SDN_DEF_>=120_0_0_all,
187,NL,2013,OTG_UND_UND_0_0_all,SDN_DEF_>=120_0_0_all,
188,NL,2013,SDN_DEF_>=120_0_0_all,SDN_DEF_>=120_0_0_all,
189,NL,2013,SDN_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
190,NL,2013,SSC_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
191,NL,2013,SSC_DEF_>=120_0_0_all_FDF,SSC_DEF_100-119_0_0_all,
192,NL,2013,TBB_CRU_16-31_0_0_all_FDF,TBB_CRU_16-31_0_0_all,
193,NL,2014,GNS_DEF_100-119_0_0_all,GNS_DEF_120-219_0_0_all,
194,NL,2014,GNS_DEF_10-30_0_0_all,GNS_DEF_120-219_0_0_all,
195,NL,2014,GNS_DEF_all_0_0_all,GNS_DEF_120-219_0_0_all,
196,NL,2014,GTR_DEF_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
197,NL,2014,GTR_DEF_90-99_0_0_all,GNS_DEF_120-219_0_0_all,
198,NL,2014,SDN_DEF_>=120_0_0_all_FDF,MIS_MIS_0_0_0_HC,
199,NL,2014,SSC_DEF_>=120_0_0_all,MIS_MIS_0_0_0_HC,
200,NL,2014,SSC_DEF_>=120_0_0_all_FDF,MIS_MIS_0_0_0_HC,
201,NL,2014,TBB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
202,NL,2014,TBB_CRU_16-31_0_0_all_FDF,MIS_MIS_0_0_0_HC,
203,NL,2015,OTB_DEF_90-119_0_0_all,OTB_DEF_100-119_0_0_all,
204,NL,2015,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
205,NL,2015,OTT_DEF_90-119_0_0_all_FDF,OTB_DEF_100-119_0_0_all,
206,NL,2015,OTT_MCD_UND_0_0_all,MIS_MIS_0_0_0_HC,
207,NL,2015,TBB_CRU_16-31_0_0_all_FDF,TBB_CRU_16-31_0_0_all,
208,NL,2015,TBB_DEF_70-89_0_0_all,TBB_DEF_70-99_0_0_all,
209,NL,2015,TBB_MCD_100-119_0_0_all,TBB_DEF_100-119_0_0_all,
210,NL,2015,TBB_MCD_16-31_0_0_all,TBB_CRU_16-31_0_0_all,
211,NL,2015,TBB_MCD_70-99_0_0_all,TBB_DEF_70-99_0_0_all,
212,NL,2016,OTB_DEF_32-69_0_0_all,OTB_DEF_All_0_0_All,
213,NL,2016,OTB_DEF_90-119_0_0_all,OTB_DEF_100-119_0_0_all,
214,NL,2016,OTB_MCD_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
215,NL,2016,OTT_DEF_90-119_0_0_all_FDF,OTB_DEF_100-119_0_0_all,
216,NL,2016,OTT_MCD_<16_0_0_all,OTB_DEF_All_0_0_All,
217,NL,2016,TBB_CRU_16-31_0_0_all_FDF,TBB_CRU_16-31_0_0_all,
218,NL,2016,TBB_MCD_16-31_0_0_all,TBB_CRU_16-31_0_0_all,
219,NL,2016,TBB_MCD_70-99_0_0_all,TBB_DEF_70-99_0_0_all,
,FR,2009,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2009,OTB_CRU_all_0_0_all,OTB_DEF_70-99_0_0_all,
,FR,2009,OTT_CRU_100-119_0_0,OTB_DEF_100-119_0_0_all,
,FR,2009,SSC_DEF_all_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2010,GNS_DEF_>=100_0_0,GNS_DEF_100-119_0_0_all,
,FR,2010,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2010,OTB_CRU_all_0_0_all,OTB_DEF_70-99_0_0_all,
,FR,2010,OTT_CRU_100-119_0_0,OTB_DEF_100-119_0_0_all,
,FR,2010,OTT_DEF_>=70_0_0,OTB_DEF_70-99_0_0_all,
,FR,2010,OTT_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2010,SSC_DEF_all_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2011,GNS_DEF_>=100_0_0,GNS_DEF_100-119_0_0_all,
,FR,2011,GTR_DEF_>=220_0_0_all,GTR_DEF_120-219_0_0_all,
,FR,2011,OTB_CRU_all_0_0_all,OTB_DEF_70-99_0_0_all,
,FR,2011,OTT_CRU_100-119_0_0,OTB_DEF_100-119_0_0_all,
,FR,2011,OTT_DEF_>=70_0_0,OTB_DEF_70-99_0_0_all,
,FR,2011,OTT_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2011,SSC_DEF_all_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2012,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2012,OTT_CRU_100-119_0_0,OTB_DEF_100-119_0_0_all,
,FR,2012,OTT_DEF_>=70_0_0,OTB_DEF_70-99_0_0_all,
,FR,2012,OTT_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2013,GNS_DEF_>=100_0_0,GTR_DEF_all_0_0_all,
,FR,2013,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2013,OTT_DEF_100-119_0_0_all,GTR_DEF_all_0_0_all,
,FR,2013,SSC_DEF_all_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2014,GNS_DEF_>=100_0_0,GTR_DEF_all_0_0_all,
,FR,2014,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2014,OTT_DEF_>=70_0_0,OTB_DEF_70-99_0_0_all,
,FR,2014,SSC_DEF_all_0_0_all,SDN_DEF_70-99_0_0_all,
,FR,2015,GNS_DEF_>=100_0_0,GTR_DEF_all_0_0_all,
,FR,2015,OTT_CRU_100-119_0_0,OTT_DEF_100-119_0_0,
,FR,2015,OTT_DEF_>=70_0_0,OTB_DEF_70-99_0_0,
,FR,2015,OTT_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,FR,2015,SSC_DEF_all_0_0_all,SDN_DEF_70-99_0_0_all,
,FR,2016,GNS_DEF_>=100_0_0,GTR_DEF_all_0_0_all,
,FR,2016,GTR_DEF_>=220_0_0_all,GTR_DEF_all_0_0_all,
,FR,2016,OTT_CRU_100-119_0_0,OTB_DEF_100-119_0_0,
,FR,2016,SSC_DEF_all_0_0_all,SDN_all_0_0_all,
,GE,2009,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
,GE,2010,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
,GE,2011,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
,NI,2011,SSC_SPF_0_0_0_all,SSC_DEF_100-119_0_0_all,
,NI,2014,OTB_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
,IR,2009,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2009,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2009,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2009,OTB_SPF_32-69_0_0_all,MIS_MIS,
,IR,2009,OTM_SPF_32-69_0_0_all,MIS_MIS,
,IR,2010,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2010,LLS_FIF_0_0_0_all,MIS_MIS,
,IR,2010,MIS_MIS_0_0_0_HC,MIS_MIS,
,IR,2010,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2010,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2011,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2011,LLS_FIF_0_0_0_all,MIS_MIS,
,IR,2011,MIS_MIS_0_0_0_HC,MIS_MIS,
,IR,2011,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2011,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2012,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2012,LLS_FIF_0_0_0_all,MIS_MIS,
,IR,2012,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2012,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2012,SSC_DEF_>=120_0_0_all,SSC_DEF,
,IR,2012,SSC_DEF_100-119_0_0_all,SSC_DEF,
,IR,2013,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2013,LLS_FIF_0_0_0_all,MIS_MIS,
,IR,2013,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2013,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2013,SSC_DEF_>=120_0_0_all,SSC_DEF,
,IR,2013,SSC_DEF_100-119_0_0_all,SSC_DEF,
,IR,2014,GNS_DEF_120-219_0_0_all,GNS_DEF,
,IR,2014,LLS_FIF_0_0_0_all,MIS_MIS,
,IR,2014,MIS_MIS_0_0_0_HC,MIS_MIS,
,IR,2014,OTB_CRU_70-99_0_0_all,OTB_DEF,
,IR,2014,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2014,OTB_DEF_100-119_0_0_all,OTB_DEF,
,IR,2014,SSC_DEF_>=120_0_0_all,SSC_DEF,
,IR,2014,SSC_DEF_100-119_0_0_all,SSC_DEF,
,IR,2015,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
,IR,2015,MIS_MIS_0_0_0_HC,MIS_MIS_0_0_0_HC,
,IR,2015,OTB_DEF_>=120_0_0_all,OTB_DEF,
,IR,2015,OTB_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,IR,2015,OTB_SPF_32-69_0_0_all,MIS_MIS_0_0_0_HC,
,IR,2015,SSC_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
,IR,2015,SSC_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
,IR,2016,GNS_DEF_120-219_0_0_all,GNS_DEF_120-219_0_0_all,
,IR,2016,OTB_DEF_>=120_0_0_all,OTB_DEF_100-119_0_0_all,
,IR,2016,OTB_DEF_100-119_0_0_all,OTB_DEF_100-119_0_0_all,
,IR,2016,OTB_SPF_32-69_0_0_all,MIS_MIS_0_0_0_HC,
,IR,2016,SSC_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
,IR,2016,SSC_DEF_100-119_0_0_all,SSC_DEF_100-119_0_0_all,
