expected,standard,ICES,FU,ecoregion
27.7.c.2,7C,27.7.c,NEPOTH-CS,CelticSea
27.7.d,7D,27.7.d,NEPOTH-NS,NorthSea
27.7.e,7E,27.7.e,NEPOTH-CS,CelticSea
27.7.f,7F,27.7.f,NEPOTH-CS,CelticSea
27.7.g,7G,27.7.g,NEPOTH-CS,CelticSea
27.7.g22,7G,27.7.g,NEP22,CelticSea
27.7.h,7H,27.7.h,NEPOTH-CS,CelticSea
27.7.j,7J,27.7.j,NEPOTH-CS,CelticSea
27.7.j.1,7J,27.7.j,NEPOTH-CS,CelticSea
27.7.j.2,7J,27.7.j,NEPOTH-CS,CelticSea
27.7.k,7K,27.7.k,NEPOTH-CS,CelticSea
27.7.k.1,7K,27.7.k,NEPOTH-CS,CelticSea
27.7.k.2,7K,27.7.k,NEPOTH-CS,CelticSea
27.7.outFU,7,27.7,NEPOTH-CS,CelticSea
27.716,7BCJK,27.7.bcjk,NEP16,CelticSea
27.719,7AGJ,27.7.agj,NEP19,CelticSea
27.72021,7GH,27.7.gh,NEP2021,CelticSea
27.7NotFU,7,27.7,NEPOTH-CS,CelticSea
27.8,NA,27.8,NA,WGBIE
27.8.a,NA,27.8.a,NA,WGBIE
27.8.abd,NA,27.8.abd,NA,WGBIE
27.8.b,NA,27.8.b,NA,WGBIE
27.8.c,8C,27.8.c,NEPOTH-IW,IberianWaters
27.8.c.e,8C,27.8.c.e,NEPOTH-IW,IberianWaters
27.8.c.w,8C,27.8.c.w,NEPOTH-IW,IberianWaters
27.8.d,NA,27.8.d,NA,WGBIE
27.8.d.1,NA,27.8.d.1,NA,WGBIE
27.8.d.2,NA,27.8.d.2,NA,WGBIE
27.8.e,NA,27.8.e,NA,WGBIE
27.8.e.1,NA,27.8.e.1,NA,WGBIE
27.8.e.2,NA,27.8.e.2,NA,WGBIE
27.9.a,9A,27.9.a,NEPOTH-IW,IberianWaters
27.9.b,NA,27.9.b,NA,NA
34.1.1,NA,34.1.1,NA,NA
34.1.1.1,NA,34.1.1.1,NA,NA
37.1.1,NA,37.1.1,NA,NA
47.1.1,NA,47.1.1,NA,NA
47.1.3,NA,47.1.3,NA,NA
7bk,7BK,27.7.bk,NEPOTH-CS,CelticSea
7ek,7EK,27.7.ek,NEPOTH-CS,CelticSea
8a,NA,27.8.a,NA,NA
8b,NA,27.8.b,NA,NA
8c,8C,27.8.c,NEPOTH-IW,IberianWaters
8d EU,NA,27.8.d,NA,NA
8d RFMO,NA,27.8.d,NA,NA
8e EU,NA,27.8.e,NA,NA
8e RFMO,NA,27.8.e,NA,NA
9a,9A,27.9.a,NEPOTH-IW,IberianWaters
9b RFMO,NA,27.9.b,NA,NA
FAO Statistical Area 27,NA,27,NA,NA
FU.10,4,27.4,NEP10,NorthSea
FU.11,6A,27.6.a,NEP11,NorthSea
FU.12,6A,27.6.a,NEP12,NorthSea
FU.13,6A,27.6.a,NEP13,NorthSea
FU.14,7A,27.7.a,NEP14,IrishSea
FU.15,7A,27.7.a,NEP15,IrishSea
fu.15,7A,27.7.a,NEP15,IrishSea
FU.16,7BCJK,27.7.bcjk,NEP16,CelticSea
FU.17,7B,27.7.b,NEP17,CelticSea
FU.19,7AGJ,27.7.agj,NEP19,CelticSea
FU.20-21,7GH,27.7.gh,NEP2021,CelticSea
FU20-21,7GH,27.7.gh,NEP2021,CelticSea
FU.22,7G,27.7.g,NEP22,CelticSea
FU.23-24,NA,27.8.ab,NA,WGBIE
FU.3-4,NA,27.3.a,NA,NA
FU.32,4,27.4,NEP32,NorthSea
FU.33,4,27.4,NEP33,NorthSea
FU.34,4,27.4,NEP34,NorthSea
FU.5,4,27.4,NEP5,NorthSea
FU.6,4,27.4,NEP6,NorthSea
FU.7,4,27.4,NEP7,NorthSea
FU.8,4,27.4,NEP8,NorthSea
FU.9,4,27.4,NEP9,NorthSea
IIIaN,3AN,27.3.a.20,NEP3A,NorthSea
NEP.OUT.3,3AN,27.3.a.20,NEPOTH-3A,NorthSea
IV,4,27.4,NEPOTH-NS,NorthSea
IV32,4,27.4,NEP32,NorthSea
IV5,4,27.4,NEP5,NorthSea
IVa,4,27.4,NEPOTH-NS,NorthSea
IVa10,4,27.4,NEP10,NorthSea
IVa7,4,27.4,NEP7,NorthSea
IVa9,4,27.4,NEP9,NorthSea
IVab32,4,27.4,NEP32,NorthSea
IVaNotFU,4,27.4,NEPOTH-NS,NorthSea
NEP.OUT.4,4,27.4,NEPOTH-NS,NorthSea
IVb,4,27.4,NEPOTH-NS,NorthSea
IVb33,4,27.4,NEP33,NorthSea
IVb34,4,27.4,NEP34,NorthSea
IVb6,4,27.4,NEP6,NorthSea
IVb8,4,27.4,NEP8,NorthSea
IVbc5,4,27.4,NEP5,NorthSea
IVbNotFU,4,27.4,NEPOTH-NS,NorthSea
IVc,4,27.4,NEPOTH-NS,NorthSea
IVcNotFU,4,27.4,NEPOTH-NS,NorthSea
IVnotFU,4,27.4,NEPOTH-NS,NorthSea
IXa,9A,27.9.a,NEPOTH-IW,IberianWaters
On Land,NA,NA,NA,NA
Vb1,NA,27.5.b.1,NA,NA
VIa,6A,27.6.a,NEPOTH-WS,NorthSea
VIa11,6A,27.6.a,NEP11,NorthSea
VIa12,6A,27.6.a,NEP12,NorthSea
VIa13,6A,27.6.a,NEP13,NorthSea
VIanotFU,6A,27.6.a,NEPOTH-WS,NorthSea
VIaNotFU,6A,27.6.a,NEPOTH-WS,NorthSea
VIb,NA,27.6.b,NA,NA
VII16,7BCJK,27.7.bcjk,NEP16,CelticSea
VII19,7AGJ,27.7.agj,NEP19,CelticSea
VII2021,7GH,27.7.gh,NEP2021,CelticSea
VIIa,7A,27.7.a,NEPOTH-IS,IrishSea
VIIa14,7A,27.7.a,NEP14,IrishSea
VIIa15,7A,27.7.a,NEP15,IrishSea
VIIagj19,7AGJ,27.7.agj,NEP19,CelticSea
VIIaNotFU,7A,27.7.a,NEPOTH-IS,IrishSea
VIIb,7B,27.7.b,NEPOTH-CS,CelticSea
VIIb17,7B,27.7.b,NEP17,CelticSea
VIIbc,7BC,27.7.bcjk,NEPOTH-CS,CelticSea
VIIbcjk16,7BCJK,27.7.bcjk,NEP16,CelticSea
VIIbcNotFU,7BC,27.7.bc,NEPOTH-CS,CelticSea
VIIc,7C,27.7.c,NEPOTH-CS,CelticSea
VIId,7D,27.7.d,NEPOTH-NS,NorthSea
VIIe,7E,27.7.e,NEPOTH-CS,CelticSea
VIIf,7F,27.7.f,NEPOTH-CS,CelticSea
VIIfg,7FG,27.7.fg,NEPOTH-CS,CelticSea
VIIfgNotFU,7FG,27.7.fg,NEPOTH-CS,CelticSea
VIIg,7G,27.7.g,NEPOTH-CS,CelticSea
VIIg22,7G,27.7.g,NEP22,CelticSea
VIIgh2021,7GH,27.7.gh,NEP2021,CelticSea
VIIh,7H,27.7.h,NEPOTH-CS,CelticSea
VIIhNotFU,7H,27.7.h,NEPOTH-CS,CelticSea
VIIIa,NA,27.8.a,NA,WGBIE
VIIIb,NA,27.8.b,NA,WGBIE
VIIIc,NA,27.8.c,NA,WGBIE
VIIId,NA,27.8.d,NA,WGBIE
VIIj,7J,27.7.j,NEPOTH-CS,CelticSea
VIIjkNotFU,7JK,27.7.jk,NEPOTH-CS,CelticSea
VIIk,7K,27.7.k,NEPOTH-CS,CelticSea
VIInotFU,7,27.7,NEPOTH-CS,CelticSea
XIIa,NA,27.12.a,NA,NA
