length,2003_1,2003_2,2003_3,2003_4,2004_1,2004_2,2004_3,2004_4,2005_1,2005_2,2005_3,2005_4,2006_1,2006_2,2006_3,2006_4,2007_1,2007_2,2007_3,2007_4,2008_1,2008_2,2008_3,2008_4,2009_1,2009_2,2009_3,2009_4,2010_1,2010_2,2010_3,2010_4,2011_1,2011_2,2011_3,2011_4,2012_1,2012_2,2012_3,2012_4,2013_1,2013_2,2013_3,2013_4,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4
83,8.6474,,,,,8.47844,,,8.6474,,,,,,,,8.6474,,,,,,,,,,,7.89742,,,,,,,,,,8.47844,8.29432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,8.96374,,,,,,,,8.089286463,8.089286463,8.089286463,8.124666446,,,,,,,,,,8.78859,,8.57509,,,8.59774,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,9.2877,,8.90848,,,,,,8.36380693,8.36380693,8.36380693,8.536992809,,,,,,,,,,9.10622,,8.88501,,,8.90848,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,9.43142,,,,,,,8.644268758,8.644268758,8.644268758,8.644268758,,9.43142,,,,,,,,9.43142,9.22661,8.756590528,,,9.22661,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,8.930729202,8.930729202,8.930729202,9.010563491,,,,,,,,,,9.76426,,,,,9.55222,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,10.10484,,,,10.10484,,,,,,,9.223245401,9.223245401,9.223245401,9.223245401,,,,,,,,,,10.10484,,9.3526,,,9.88541,,,,,,,,,,9.223245401,9.223245401,9.223245401,9.223245401,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19931,,,,,,,10.22626,,,,,,,,,,9.521874372,9.521874372,9.521874372,9.521874372,,,,,,,,,,,,
90,,10.80959,,,,10.80959,,,,,,,,,,,,,10.57485,,,10.80959,,,,,,9.98043,,,,10.54699,,,,,,,10.57485,,,10.80959,,,,,,,,,,,,,10.57485,,,,,,,,,,,,,
91,11.39661,,,,,,,,,,,,,,,,,,,,,,,,10.13769812,10.13769812,10.13769812,10.13769812,,,,,,,,,,,,,,,,,,,,,,,,,10.13769812,10.13769812,10.13769812,10.13769812,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,10.45500637,10.45500637,10.45500637,10.57701835,,,,,,11.54636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92698,,11.63724,,,11.66797,,,,11.66797,,,,,,,,,,,11.92698,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,11.10869839,11.10869839,11.10869839,11.10869839,,,,,,,,,,12.31587,,,,,,12.01668,,,,,,,,,,,,,,,,,,,,,,,,
95,12.96649,,,,,,,,,,,,,,,,12.96649,,,,,12.71313,12.43705,,,,,,,,,,,12.71313,,,,,,,,,12.43705,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11884,,12.80014,,13.11884,,,,,12.83395,,,,,,,,,,,,12.83395,,,,,,,,,,,,,
97,,,,,,,13.2392,,,13.53308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2392,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,13.6529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,14.50597,,,,,,,,,,,,,,,,,,,,,,,14.82797,,,,,,14.46775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,15.39385,,,,,,,,,15.35329,,,,,,15.73556,,,,,,,,,,,,,,,,,,,13.98605117,13.98605117,13.98605117,13.98605117,,,,,,,,,,,,
