Year,Country,Metier,Area,Species,Discard_ID,DR,Landings,Match
2009,FRA,OTB_DEF,27.7.f,MON,2009_FRA_MON_27.7.f_OTB_DEF,NA,121.66624539754,AC_Missmatches
2009,FRA,OTB_DEF,27.7.g,MEG,2009_FRA_MEG_27.7.g_OTB_DEF,NA,17.741165850612,AC_Missmatches
2009,FRA,OTB_DEF,27.7.g,MON,2009_FRA_MON_27.7.g_OTB_DEF,NA,86.6969354,AC_Missmatches
2009,FRA,OTB_DEF,27.7.h,MEG,2009_FRA_MEG_27.7.h_OTB_DEF,NA,88.8006294,AC_Missmatches
2009,FRA,OTB_DEF,27.7.h,MON,2009_FRA_MON_27.7.h_OTB_DEF,NA,649.30067380246,AC_Missmatches
2009,FRA,OTB_DEF,27.7.j,MEG,2009_FRA_MEG_27.7.j_OTB_DEF,NA,400.67489232,AC_Missmatches
2009,FRA,OTB_DEF,27.7.j,MON,2009_FRA_MON_27.7.j_OTB_DEF,NA,538.66888140082,AC_Missmatches
2009,FRA,OTB_DEF,27.7.k,MEG,2009_FRA_MEG_27.7.k_OTB_DEF,NA,2.38486464,AC_Missmatches
2009,FRA,OTB_DEF,27.7.k,MON,2009_FRA_MON_27.7.k_OTB_DEF,NA,4.7057832,AC_Missmatches
2009,FRA,OTB_SPF,27.7.d,WHG,2009_FRA_WHG_27.7.d_OTB_SPF,NA,120.86985,AC_Missmatches
2009,FRA,OTM_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_OTM_DEF,NA,3.12915,AC_Missmatches
2009,FRA,OTM_DEF,27.7.d,HAD,2009_FRA_HAD_27.7.d_OTM_DEF,NA,0.09308,AC_Missmatches
2009,FRA,OTM_DEF,27.7.d,WHG,2009_FRA_WHG_27.7.d_OTM_DEF,NA,13.4774,AC_Missmatches
2009,FRA,OTM_DEF,27.7.f,HAD,2009_FRA_HAD_27.7.f_OTM_DEF,NA,1.95824,AC_Missmatches
2009,FRA,OTM_DEF,27.7.f,WHG,2009_FRA_WHG_27.7.f_OTM_DEF,NA,0.18854,AC_Missmatches
2009,FRA,OTM_DEF,27.7.g,HAD,2009_FRA_HAD_27.7.g_OTM_DEF,NA,34.91964,AC_Missmatches
2009,FRA,OTM_DEF,27.7.g,WHG,2009_FRA_WHG_27.7.g_OTM_DEF,NA,3.45271,AC_Missmatches
2009,FRA,OTM_DEF,27.7.h,HAD,2009_FRA_HAD_27.7.h_OTM_DEF,NA,1.59465,AC_Missmatches
2009,FRA,OTM_DEF,27.7.h,WHG,2009_FRA_WHG_27.7.h_OTM_DEF,NA,0.27814,AC_Missmatches
2009,FRA,OTM_DEF,27.7.j,HAD,2009_FRA_HAD_27.7.j_OTM_DEF,NA,0.00154,AC_Missmatches
2009,FRA,OTM_DEF,27.7.j,WHG,2009_FRA_WHG_27.7.j_OTM_DEF,NA,0.00944,AC_Missmatches
2009,FRA,OTM_DEF,27.7.k,HAD,2009_FRA_HAD_27.7.k_OTM_DEF,NA,0.00014,AC_Missmatches
2009,FRA,OTM_DEF,27.7.k,WHG,2009_FRA_WHG_27.7.k_OTM_DEF,NA,0.09022,AC_Missmatches
2009,FRA,OTM_SPF,27.7.d,COD,2009_FRA_COD_27.7.d_OTM_SPF,NA,12.25868,AC_Missmatches
