"","scenario","fleet","stock","catch","tacshare","effort","catch_ssa","tac_ssa","effort_ssa","limitation"
"36","fixedEffort","FRA_Other_10<40m","mon.27.78abd",449.668612219766,0.0141906544673131,12654.5596666667,34579,490.69864082522,13809.225416072,"intermediate"
"37","fixedEffort","FRA_Other_10<40m","sol.27.7fg",0.00787874667263673,0.00000660345340563739,12654.5596666667,1413,0.00933067966216563,14986.6022378294,"intermediate"
"38","fixedEffort","FRA_Other_10<40m","whg.27.7b-ce-k",128.626496100271,0.0153777171757484,12654.5596666667,5261,80.9021700616123,7959.33473465218,"intermediate"
"39","fixedEffort","FRA_Other_10<40m","had.27.7b-k",246.498277343142,0.0131926800888995,12654.5596666667,18382,242.507845394151,12449.7016054317,"intermediate"
"40","fixedEffort","FRA_Other_10<40m","nep.out.7",0.01271285669326,0.0000405761511653242,12654.5596666667,150,0.00608642267479863,6058.51231970756,"intermediate"
"41","fixedEffort","FRA_Other_10<40m","nep.fu.22",0.0787140264417796,0.0000251411308602036,12654.5596666667,1560,0.0392201641419176,6305.2791186772,"intermediate"
"42","fixedEffort","FRA_Other_10<40m","nep.fu.2021",2.27253664669782,0.0019254024517082,12654.5596666667,1710,3.29243819242102,18333.8542044397,"intermediate"
"43","fixedEffort","FRA_Other_10<40m","nep.fu.19",0.116373707845433,0.000333065662979952,12654.5596666667,595,0.198174069473071,21549.5891036143,"least"
"44","fixedEffort","FRA_Other_10<40m","nep.fu.16",0.0300270461758142,0.00000740326872613429,12654.5596666667,3290,0.0243567541089818,10264.8790811367,"intermediate"
"45","fixedEffort","FRA_Otter_10<40m","cod.27.7e-k",267.587958643367,0.446317933576553,143727.918333333,0,0,0,"choke"
"46","fixedEffort","FRA_Otter_10<40m","meg.27.7b-k8abd",4989.64716610997,0.237823030497501,143727.918333333,19184,4562.39701706406,131420.880884461,"intermediate"
"47","fixedEffort","FRA_Otter_10<40m","mon.27.78abd",11815.4149603928,0.376003105140713,143727.918333333,34579,13001.8113726607,158159.767508754,"intermediate"
"48","fixedEffort","FRA_Otter_10<40m","sol.27.7fg",71.2696438274515,0.0506947091678945,143727.918333333,1413,71.6316240542349,144457.915870565,"intermediate"
