"","stock","fleet","scenario","effort","limitation","CS2020_effort","CS2020_choke"
"41","nep.fu.22","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1946.87233327113,"intermediate"
"42","nep.fu.2021","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",2201.86467689021,"intermediate"
"43","nep.fu.19","FRA_Other_10<40m","fixedEffort",12654.5596666667,"least",2363.47889701397,"least"
"44","nep.fu.16","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",2216.04558410795,"intermediate"
"45","cod.27.7e-k","FRA_Otter_10<40m","fixedEffort",143727.918333333,"choke",0,"choke"
"46","meg.27.7b-k8abd","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",15246.8066747515,"intermediate"
"47","mon.27.78abd","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",16997.8311089419,"intermediate"
"48","sol.27.7fg","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",17963.2847335435,"intermediate"
"49","whg.27.7b-ce-k","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",7631.71846776362,"intermediate"
"50","had.27.7b-k","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",15721.1053701867,"intermediate"
"51","nep.out.7","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",17129.175,"intermediate"
"52","nep.fu.22","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",13274.1463783495,"intermediate"
"53","nep.fu.2021","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",13874.7515356041,"intermediate"
"54","nep.fu.19","FRA_Otter_10<40m","fixedEffort",143727.918333333,"least",19336.236618312,"least"
"55","nep.fu.16","FRA_Otter_10<40m","fixedEffort",143727.918333333,"intermediate",14711.8420199478,"intermediate"
"56","cod.27.7e-k","FRA_Static_10<40m","fixedEffort",43862.7516666667,NA,0,"choke"
"57","mon.27.78abd","FRA_Static_10<40m","fixedEffort",43862.7516666667,NA,2842.22849512683,"intermediate"
"58","sol.27.7fg","FRA_Static_10<40m","fixedEffort",43862.7516666667,NA,NA,"intermediate"
"59","nep.out.7","FRA_Static_10<40m","fixedEffort",43862.7516666667,NA,2859.46833333333,"least"
"60","cod.27.7e-k","IE_Beam_10<24m","fixedEffort",2142.27733333333,"choke",0,"choke"
"61","meg.27.7b-k8abd","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",330.721801471263,"intermediate"
"62","mon.27.78abd","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",362.543671309287,"intermediate"
"63","sol.27.7fg","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",92.6440598096336,"intermediate"
"64","whg.27.7b-ce-k","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",127.34676382359,"intermediate"
"65","had.27.7b-k","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",171.804611578096,"intermediate"
"66","nep.fu.22","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",376.735290819363,"intermediate"
"67","nep.fu.2021","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",171.697357596612,"intermediate"
"68","nep.fu.19","IE_Beam_10<24m","fixedEffort",2142.27733333333,"intermediate",2220.4182583323,"least"
"69","nep.fu.16","IE_Beam_10<24m","fixedEffort",2142.27733333333,"least",356.230666666667,"intermediate"
"70","cod.27.7e-k","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,0,"choke"
"71","meg.27.7b-k8abd","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,854.44043073161,"intermediate"
"72","mon.27.78abd","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,945.067751021441,"intermediate"
"73","sol.27.7fg","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,244.754873714981,"intermediate"
"74","whg.27.7b-ce-k","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,335.936481705422,"intermediate"
"75","had.27.7b-k","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,460.139030676107,"intermediate"
"76","nep.out.7","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,NA,"intermediate"
"77","nep.fu.22","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,768.251077408447,"intermediate"
"78","nep.fu.2021","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,716.668782741184,"intermediate"
"79","nep.fu.19","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,1635.97568868369,"least"
"80","nep.fu.16","IE_Beam_24<40m","fixedEffort",9768.18433333333,NA,818.319958776202,"intermediate"
"81","cod.27.7e-k","IE_Otter_10<24m","fixedEffort",57099.6553333333,"choke",0,"choke"
"82","meg.27.7b-k8abd","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",5532.74860783892,"intermediate"
"83","mon.27.78abd","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",6463.12128669659,"intermediate"
"84","sol.27.7fg","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",6013.94094134357,"intermediate"
"85","whg.27.7b-ce-k","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",3249.55586353104,"intermediate"
"86","had.27.7b-k","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",5708.30789137826,"intermediate"
"87","nep.out.7","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",6413.286,"intermediate"
"88","nep.fu.22","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",5005.57106747965,"intermediate"
"89","nep.fu.2021","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",4561.5163213957,"intermediate"
"90","nep.fu.19","IE_Otter_10<24m","fixedEffort",57099.6553333333,"least",8542.11866287139,"intermediate"
"91","nep.fu.16","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",5571.12125242231,"intermediate"
"92","nep.fu.17","IE_Otter_10<24m","fixedEffort",57099.6553333333,"intermediate",9825.02029622715,"least"
"93","cod.27.7e-k","IE_Otter_24<40m","fixedEffort",41603.0593333333,"choke",0,"choke"
"94","meg.27.7b-k8abd","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",3990.46911185199,"intermediate"
"95","mon.27.78abd","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",4577.10170820036,"intermediate"
"96","sol.27.7fg","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",4292.11444922044,"intermediate"
"97","whg.27.7b-ce-k","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",2521.03902850393,"intermediate"
"98","had.27.7b-k","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",3946.63984493782,"intermediate"
"99","nep.out.7","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",4602.85033333333,"intermediate"
"100","nep.fu.22","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",3381.79384587768,"intermediate"
"101","nep.fu.2021","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",3242.64906324452,"intermediate"
"102","nep.fu.19","IE_Otter_24<40m","fixedEffort",41603.0593333333,"least",9876.74028369822,"least"
"103","nep.fu.16","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",4485.87673001473,"intermediate"
"104","nep.fu.17","IE_Otter_24<40m","fixedEffort",41603.0593333333,"intermediate",6958.04834806624,"intermediate"
"105","cod.27.7e-k","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,0,"choke"
"106","meg.27.7b-k8abd","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,684.503890565913,"intermediate"
"107","mon.27.78abd","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,677.840280832463,"intermediate"
"108","sol.27.7fg","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,677.985450188094,"intermediate"
"109","whg.27.7b-ce-k","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,365.017525895671,"intermediate"
"110","had.27.7b-k","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,667.048431946941,"intermediate"
"111","nep.out.7","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,678.819666666667,"intermediate"
"112","nep.fu.22","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,665.03208149316,"intermediate"
"113","nep.fu.2021","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,909.900978032967,"intermediate"
"114","nep.fu.19","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,1735.31935128152,"least"
"115","nep.fu.16","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,1094.66991560459,"intermediate"
"116","nep.fu.17","IE_Static_10<24m","fixedEffort",8412.29066666667,NA,NA,"intermediate"
"117","cod.27.7e-k","UKE_Beam_10<24m","fixedEffort",8836.9888,"choke",0,"choke"
"118","meg.27.7b-k8abd","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",994.151159538834,"intermediate"
"119","mon.27.78abd","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",1124.04329682391,"intermediate"
"120","sol.27.7fg","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",1174.63885915083,"intermediate"
"121","whg.27.7b-ce-k","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",168.668310221704,"intermediate"
"122","had.27.7b-k","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",516.994603003661,"intermediate"
"123","nep.out.7","UKE_Beam_10<24m","fixedEffort",8836.9888,"intermediate",1118.42796,"intermediate"
"124","nep.fu.2021","UKE_Beam_10<24m","fixedEffort",8836.9888,"least",5699.21081892937,"least"
"125","cod.27.7e-k","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"choke",0,"choke"
"126","meg.27.7b-k8abd","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",2896.68134277836,"intermediate"
"127","mon.27.78abd","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",3233.18899609371,"intermediate"
"128","sol.27.7fg","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",3357.35226120909,"intermediate"
"129","whg.27.7b-ce-k","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",505.836747353562,"intermediate"
"130","had.27.7b-k","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",1413.87608114282,"intermediate"
"131","nep.out.7","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"intermediate",3178.87463333333,"intermediate"
"132","nep.fu.2021","UKE_Beam_24<40m","fixedEffort",26404.3568333333,"least",25425.7531004189,"least"
"133","cod.27.7e-k","UKE_Other_<10m","fixedEffort",1435.65223,"choke",0,"choke"
"134","meg.27.7b-k8abd","UKE_Other_<10m","fixedEffort",1435.65223,"intermediate",1348.11989461559,"intermediate"
"135","mon.27.78abd","UKE_Other_<10m","fixedEffort",1435.65223,"intermediate",3574.13333996614,"least"
"136","sol.27.7fg","UKE_Other_<10m","fixedEffort",1435.65223,"intermediate",202.397611330095,"intermediate"
"137","whg.27.7b-ce-k","UKE_Other_<10m","fixedEffort",1435.65223,"intermediate",665.076264884483,"intermediate"
"138","had.27.7b-k","UKE_Other_<10m","fixedEffort",1435.65223,"least",440.618466227995,"intermediate"
"139","nep.out.7","UKE_Other_<10m","fixedEffort",1435.65223,"intermediate",225.643006666667,"intermediate"
"140","cod.27.7e-k","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,0,"choke"
"141","meg.27.7b-k8abd","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,504.299184194708,"intermediate"
"142","mon.27.78abd","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,607.164325165579,"intermediate"
"143","sol.27.7fg","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,696.482308874567,"least"
"144","whg.27.7b-ce-k","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,217.893707331681,"intermediate"
"145","had.27.7b-k","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,191.377360306562,"intermediate"
"146","nep.out.7","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,584.816393333333,"intermediate"
"147","nep.fu.22","UKE_Otter_<10m","fixedEffort",4026.13139333333,NA,NA,"intermediate"
"148","cod.27.7e-k","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,0,"choke"
"149","meg.27.7b-k8abd","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,1856.08135874207,"intermediate"
"150","mon.27.78abd","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,2015.01215045486,"intermediate"
"151","sol.27.7fg","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,2174.08211358702,"least"
"152","whg.27.7b-ce-k","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,747.195781654314,"intermediate"
"153","had.27.7b-k","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,745.308299389575,"intermediate"
"154","nep.out.7","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,2021.75607333333,"intermediate"
"155","nep.fu.22","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,1453.79750716681,"intermediate"
"156","nep.fu.2021","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,1567.46757688669,"intermediate"
"157","nep.fu.19","UKE_Otter_10<24m","fixedEffort",15495.7802866667,NA,NA,"intermediate"
"158","cod.27.7e-k","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,0,"choke"
"159","meg.27.7b-k8abd","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,2957.09663354338,"intermediate"
"160","mon.27.78abd","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,3389.89855139816,"intermediate"
"161","sol.27.7fg","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,4107.61627744173,"intermediate"
"162","whg.27.7b-ce-k","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,1315.27517833971,"intermediate"
"163","had.27.7b-k","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,1299.57112836871,"intermediate"
"164","nep.out.7","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,3391.78933333333,"intermediate"
"165","nep.fu.22","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,4359.97551468894,"intermediate"
"166","nep.fu.2021","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,1945.41932641472,"intermediate"
"167","nep.fu.19","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,15484.5507102792,"least"
"168","nep.fu.16","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,3664.12126239469,"intermediate"
"169","nep.fu.17","UKE_Otter_24<40m","fixedEffort",29614.1436666667,NA,NA,"intermediate"
"170","cod.27.7e-k","UKE_Static_10<24m","fixedEffort",20026.93436,"choke",0,"choke"
"171","meg.27.7b-k8abd","UKE_Static_10<24m","fixedEffort",20026.93436,"intermediate",2072.37051589584,"intermediate"
"172","mon.27.78abd","UKE_Static_10<24m","fixedEffort",20026.93436,"intermediate",2261.60597456829,"intermediate"
"173","sol.27.7fg","UKE_Static_10<24m","fixedEffort",20026.93436,"intermediate",2483.82586770213,"intermediate"
"174","whg.27.7b-ce-k","UKE_Static_10<24m","fixedEffort",20026.93436,"intermediate",995.992504141206,"intermediate"
"175","had.27.7b-k","UKE_Static_10<24m","fixedEffort",20026.93436,"least",2533.55028498246,"least"
"176","nep.out.7","UKE_Static_10<24m","fixedEffort",20026.93436,"intermediate",2286.76789,"intermediate"
"177","meg.27.7b-k8abd","UKE_Static_24<40m","fixedEffort",1957.01583333333,NA,NA,NA
"178","mon.27.78abd","UKE_Static_24<40m","fixedEffort",1957.01583333333,NA,NA,NA
"179","cod.27.7e-k","UKN_Otter_10<24m","fixedEffort",3751.724,"choke",0,"choke"
"180","meg.27.7b-k8abd","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",2035.8670066458,"intermediate"
"181","sol.27.7fg","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",1564.63763986843,"intermediate"
"182","whg.27.7b-ce-k","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",894.906602322068,"intermediate"
"183","had.27.7b-k","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",1840.9767222119,"intermediate"
"184","nep.fu.22","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",1010.50701875351,"intermediate"
"185","nep.fu.2021","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",8133.84588298258,"intermediate"
"186","nep.fu.19","UKN_Otter_10<24m","fixedEffort",3751.724,"least",9184.15938443424,"intermediate"
"187","nep.fu.16","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",596.471931888083,"intermediate"
"188","nep.fu.17","UKN_Otter_10<24m","fixedEffort",3751.724,"intermediate",14227.3250943166,"least"
"189","cod.27.7e-k","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"choke",NA,NA
"190","meg.27.7b-k8abd","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"191","sol.27.7fg","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"192","whg.27.7b-ce-k","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"193","had.27.7b-k","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"194","nep.fu.22","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"195","nep.fu.2021","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"least",NA,NA
"196","nep.fu.16","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"197","nep.fu.17","UKN_Otter_24<40m","fixedEffort",1157.88433333333,"intermediate",NA,NA
"198","cod.27.7e-k","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,0,"choke"
"199","meg.27.7b-k8abd","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,63.9569279281484,"intermediate"
"200","mon.27.78abd","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,112.94253779059,"intermediate"
"201","sol.27.7fg","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,182.477595491699,"least"
"202","whg.27.7b-ce-k","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,53.2157989486098,"intermediate"
"203","had.27.7b-k","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,130.043423134248,"intermediate"
"204","nep.out.7","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,107.983966087223,"intermediate"
"205","nep.fu.2021","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,101.749856837744,"intermediate"
"206","nep.fu.19","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,NA,"intermediate"
"207","nep.fu.16","UKS_Otter_10<24m","fixedEffort",795.1335482815,NA,112.425438899289,"intermediate"
"208","cod.27.7e-k","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"choke",0,"choke"
"209","meg.27.7b-k8abd","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",123.701369627378,"intermediate"
"210","mon.27.78abd","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",143.624702401687,"intermediate"
"211","whg.27.7b-ce-k","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",63.3103320322546,"intermediate"
"212","had.27.7b-k","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",150.058962906039,"intermediate"
"213","nep.out.7","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",148.895726113847,"intermediate"
"214","nep.fu.2021","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"least",1780.35685945577,"least"
"215","nep.fu.19","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",847.520157688674,"intermediate"
"216","nep.fu.16","UKS_Otter_24<40m","fixedEffort",1183.5883674317,"intermediate",416.013403918795,"intermediate"
"217","cod.27.7e-k","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"218","meg.27.7b-k8abd","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"219","mon.27.78abd","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"220","whg.27.7b-ce-k","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"221","had.27.7b-k","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"222","nep.out.7","UKS_Static_all","fixedEffort",3875.23827348338,NA,NA,NA
"223","nep.fu.16","BE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"224","nep.fu.17","BE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"225","nep.fu.19","BE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"226","nep.fu.2021","BE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"227","nep.fu.22","BE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"228","nep.fu.16","BE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"229","nep.fu.17","BE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"230","nep.fu.19","BE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"231","nep.fu.16","BE_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"232","nep.fu.17","BE_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"233","nep.fu.17","ES_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"234","nep.fu.19","ES_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"235","nep.fu.2021","ES_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"236","nep.fu.22","ES_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"237","nep.out.7","ES_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"238","nep.fu.17","FRA_Other_10<40m",NA,NA,NA,NA,"intermediate"
"239","nep.fu.17","FRA_Otter_10<40m",NA,NA,NA,NA,"intermediate"
"240","had.27.7b-k","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"241","meg.27.7b-k8abd","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"242","nep.fu.16","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"243","nep.fu.17","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"244","nep.fu.19","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"245","nep.fu.2021","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"246","nep.fu.22","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"247","whg.27.7b-ce-k","FRA_Static_10<40m",NA,NA,NA,NA,"intermediate"
"248","nep.fu.17","IE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"249","nep.out.7","IE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"250","nep.fu.17","IE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"251","cod.27.7e-k","NL_Otter_24<40m",NA,NA,NA,0,"choke"
"252","had.27.7b-k","NL_Otter_24<40m",NA,NA,NA,1372.16023795202,"intermediate"
"253","meg.27.7b-k8abd","NL_Otter_24<40m",NA,NA,NA,1645.75430004939,"least"
"254","mon.27.78abd","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
