fu,year,abund,ci,landings.n,discards.n,removals.numbers,harvest.rate,landings.t,discards.t,discard.rate.n,dead.disc.rate.n,mean.wt.lan.gr,mean.wt.dis.gr,discard.rate.wgt,prop.removal.ret.n,survival.rate
fu.17,2017,403.6452647,41.3843367,13.26900808,3.605379368,15.97304261,3.953723418,294.96416,37.70219941,0.213659866,0.16928738,22.22955613,10.45720729,0.113333369,0.83071262,0.25
fu.17,2018,554.0266614,83.33118071,22.04862066,10.48994074,29.91607622,5.400013757,536.4751,106.0465913,0.322384896,0.262984206,24.33145856,10.10936038,0.165047488,0.737015794,0.25
fu.17,2019,492.518673,65.94845956,7.568427253,2.098126553,9.142022168,1.856177779,166.5352,20.85645473,0.217050109,0.172127663,22.00393747,9.940513217,0.111298738,0.827872337,0.25
fu.17,2020,393.9798376,58.84286124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu.19,2011,780.3833143,170.8695356,25.78769946,32.38579328,50.07704443,6.416980413,642.999,409.408291,0.556710484,0.485039507,24.93432968,12.64160144,0.389020766,0.514960493,0.25
fu.19,2012,724.80672,110.587786,32.26196324,37.26977041,60.21429105,8.307634214,849.07,473.4875646,0.536010947,0.464214181,26.31798919,12.70433274,0.35800904,0.535785819,0.25
fu.19,2013,486.7884,161.2174137,29.46419885,36.45659361,56.80664405,11.66967907,793.784,435.5226618,0.553036337,0.481324776,26.94062731,11.94633449,0.354283171,0.518675224,0.25
fu.19,2014,635.8026467,187.5812643,16.3414791,11.42638763,24.91126983,3.918082121,467.621,160.8863968,0.411496776,0.344012601,28.61558596,14.0802502,0.255981708,0.655987399,0.25
fu.19,2015,482.1219692,125.7538294,16.98493991,11.83420907,25.86059672,5.3639117,506.9137339,166.7664884,0.410637007,0.343211601,29.84489415,14.09189979,0.247545472,0.656788399,0.25
fu.19,2016,398.5995429,99.55223205,19.73881802,13.60246855,29.94066943,7.511466073,590.2655874,193.3988327,0.407976715,0.340735582,29.90379601,14.21792169,0.246787819,0.659264418,0.25
fu.19,2017,499.1082255,119.6087032,14.58208682,9.618374329,21.79586756,4.366962203,419.9616528,139.2300123,0.397445911,0.330970113,28.79983216,14.47542043,0.24898442,0.669029887,0.25
fu.19,2018,176.1016761,52.59385283,8.442552091,4.499474696,11.81715811,6.71041774,238.2509,70.60754957,0.347663837,0.285568323,28.22024637,15.69239841,0.22860812,0.714431677,0.25
fu.19,2019,386.0929179,127.4303927,7.413757803,6.911213423,12.59716787,3.262729588,249.43174,112.4596701,0.482459149,0.411474239,33.64444141,16.27205864,0.31075529,0.588525761,0.25
fu.19,2020,319.5534139,92.58937118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu.2021,2013,1624.450878,103.4488,34.95896884,19.17548226,49.34058054,3.038213087,1387,326.7098977,0.354219575,0.291476337,39.67508327,17.03789731,0.19064481,0.708523663,0.25
fu.2021,2014,2050.831979,130.6487,50.50552292,55.53852984,92.1594203,4.493389581,1836,834.0740042,0.523730736,0.451976556,36.35245997,15.01793451,0.312378609,0.548023444,0.25
fu.2021,2015,2003.251,125.1651025,59.26201958,28.14036884,80.36729621,4.012346291,2116,442.0484211,0.321963385,0.262610261,35.70583681,15.70869322,0.172806901,0.737389739,0.25
fu.2021,2016,1879.347,157.3847679,60.1939886,37.46811964,88.29507833,4.699046212,2452.519,800.8000967,0.383650531,0.318263376,40.74358681,21.37283921,0.246148648,0.681736624,0.25
fu.2021,2017,4427.52872,332.4423981,60.08474361,19.24994339,74.52220115,1.682976539,1849.277857,306.3451717,0.242642205,0.193733643,30.77782721,15.9140817,0.142114446,0.806266357,0.25
fu.2021,2018,2720.90944,212.1949648,64.66646673,21.50437803,80.79475025,2.969402401,1802.6034,381.0814484,0.249555149,0.199620439,27.8753965,17.72110999,0.174513025,0.800379561,0.25
fu.2021,2019,616.913951,57.90498555,99.14650694,42.34498105,130.9052427,21.21640887,2998.9756,636.5152526,0.29927582,0.242608586,30.2479199,15.03165751,0.175083717,0.757391414,0.25
fu.2021,2020,1020.438106,95.75894062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu.22,2006,1503.322108,69.83231856,100.1630869,45.19395555,134.0585535,8.919398106,1760.8823,454.4958217,0.310916862,0.252840761,17.58015208,10.05656213,0.205154965,0.747159239,0.25
fu.22,2007,1136.016465,126.0251225,165.180285,180.8906185,300.8482488,26.4831205,2950.1684,1906.365307,0.522698143,0.450951483,17.86029368,10.53877378,0.392536204,0.549048517,0.25
fu.22,2008,1114.163896,123.1641337,143.5585409,26.00856608,163.0649655,14.63778865,3089.8739,288.8636134,0.153382142,0.119623639,21.52344179,11.10647978,0.085494541,0.880376361,0.25
fu.22,2009,1093.149287,107.9856591,92.00997108,33.0201133,116.7750561,10.68390266,2185.134251,371.4840114,0.264097345,0.212075128,23.74888532,11.2502343,0.145302886,0.787924872,0.25
fu.22,2010,1140.567637,88.07919523,121.8183596,44.53486033,155.2195049,13.60381287,2714.4298,635.9324978,0.267712644,0.215186521,22.28260016,14.27943173,0.189810069,0.784813479,0.25
fu.22,2011,1255.518707,72.34801,59.9725688,13.15641841,69.83988261,5.560500208,1636.438324,196.4256989,0.179907023,0.141284799,27.28644706,14.93002828,0.107168724,0.858715201,0.25
fu.22,2012,1497.561305,238.6333989,120.3337567,31.35635524,143.8510231,9.602872036,2617.678906,346.9565446,0.206713245,0.163483484,21.75348779,11.06495133,0.117031774,0.836516516,0.25
fu.22,2013,1254.401254,176.5293797,93.52148709,40.13277936,123.6210716,9.858139682,2256.74081,497.0706862,0.300273088,0.243482637,24.1307199,12.38565318,0.1805028,0.756517363,0.25
fu.22,2014,1621.995663,268.3170106,100.1765704,33.39460445,125.2225237,7.720254237,2525.9989,460.223797,0.250013556,0.200011568,25.21546595,13.78138189,0.154115699,0.799988432,0.25
fu.22,2015,1362.679802,180.4223302,114.1069929,44.3618019,147.3783443,10.81279122,2349.571098,449.7794301,0.2799403,0.225754683,20.59094748,10.13889001,0.160672779,0.774245317,0.25
fu.22,2016,866.2506753,112.2850763,160.1524028,53.53360797,200.3026087,23.12963149,3329.147757,519.0046144,0.250524626,0.200447744,20.78737315,9.694930607,0.134871118,0.799552256,0.25
fu.22,2017,1600.165094,152.5843817,164.3583178,39.16187671,193.7297254,12.10810784,3560.159467,424.3654252,0.192422559,0.151610226,21.66096316,10.83618715,0.106503394,0.848389774,0.25
fu.22,2018,876.0265665,154.2795352,97.78066124,30.43119102,120.6040545,13.76716861,1974.4871,335.6799294,0.237350841,0.189242338,20.19302258,11.03078513,0.14530548,0.810757662,0.25
fu.22,2019,1121.151904,140.6924223,80.85698154,19.17733366,95.23998179,8.494832988,2083.079,262.2172968,0.191707552,0.151018511,25.76251253,13.67329272,0.111805616,0.848981489,0.25
fu.22,2020,750.1856188,117.8835503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
out7.fu,2009,,,,0,,,326,0,0,0,,0,0,1,0.25
out7.fu,2010,,,,0,,,366,0,0,0,,0,0,1,0.25
out7.fu,2011,,,,0,,,123,0,0,0,,0,0,1,0.25
out7.fu,2012,,,,0,,,353,0,0,0,,0,0,1,0.25
out7.fu,2013,,,,0,,,204,0,0,0,,0,0,1,0.25
out7.fu,2014,,,,0,,,174,0,0,0,,0,0,1,0.25
out7.fu,2015,,,,0,,,80,0,0,0,,0,0,1,0.25
out7.fu,2016,,,,0,,,118,0,0,0,,0,0,1,0.25
out7.fu,2017,,,,0,,,137,0,0,0,,0,0,1,0.25
out7.fu,2018,,,,0,,,200,0,0,0,,0,0,1,0.25
out7.fu,2019,,,,0,,,242,0,0,0,,0,0,1,0.25
