"year","country","subArea","catchCat","fleet","Age","frequency1000","meanWeightKg"
2003,"Spain","27.7","Discards","OTB_DEF",2,754428.98475738,0.174774043501554
2003,"Spain","27.7","Discards","OTB_DEF",3,196959.169260735,0.216377046316627
2003,"Spain","27.7","Discards","OTB_DEF",4,120584.301152409,0.237797436865653
2003,"Spain","27.7","Discards","OTB_DEF",5,13314.4336711062,0.255761056376149
2003,"Spain","27.7","Discards","OTB_DEF",6,637.203775310825,0.308832080611561
2003,"Spain","27.7","Landings","MIS_MIS",0,0.005672855760005,0.212618651103324
2003,"Spain","27.7","Landings","MIS_MIS",1,18.1319515695628,0.352343809735727
2003,"Spain","27.7","Landings","MIS_MIS",2,412.823411756563,0.379609677397248
2003,"Spain","27.7","Landings","MIS_MIS",3,320.349906169342,0.503565698825625
2003,"Spain","27.7","Landings","MIS_MIS",4,238.245359651012,0.570233683680072
2003,"Spain","27.7","Landings","MIS_MIS",5,50.6685927151317,0.595648759627793
2003,"Spain","27.7","Landings","MIS_MIS",6,11.5428116538392,0.824075429932689
2003,"Spain","27.7","Landings","MIS_MIS",7,0.0552379430263446,0.59317
2003,"Spain","27.7","Landings","OTB_DEF",0,2.43407113046455,0.212618651103324
2003,"Spain","27.7","Landings","OTB_DEF",1,1917.65957766932,0.231543003531828
2003,"Spain","27.7","Landings","OTB_DEF",2,54659.0565764229,0.262396981659931
2003,"Spain","27.7","Landings","OTB_DEF",3,45957.7691221677,0.353239374985207
2003,"Spain","27.7","Landings","OTB_DEF",4,56903.8000946675,0.416623693096048
2003,"Spain","27.7","Landings","OTB_DEF",5,8543.79837680936,0.549673552114823
2003,"Spain","27.7","Landings","OTB_DEF",6,1158.70388304658,0.706009605561528
2003,"Spain","27.7","Landings","OTB_DEF",7,23.7011283407905,0.59317
2003,"Spain","27.7","Landings","OTB_DEF",8,2.01324626931098,0.96386
2003,"UK (England)","27.7","Discards","GNS_DEF",0,8.86393895764677,0.0441905903845614
2003,"UK (England)","27.7","Discards","GNS_DEF",1,168.791492118731,0.101600563470181
2003,"UK (England)","27.7","Discards","GNS_DEF",2,644.177475196724,0.176024790629625
2003,"UK (England)","27.7","Discards","GNS_DEF",3,721.596860281725,0.235282433904015
