Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
UK (England),4,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_>=120_0_0_all,71,fd,1321,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_70-99_0_0_all,25,fd,503,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_70-99_0_0_all,25,fd,0,Discards,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_>=120_0_0_all,371,fd,21941,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0_all,123,fd,11045,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.c,OTB_DEF_>=120_0_0_all,389,fd,32833,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.c,OTB_DEF_70-99_0_0_all,501,fd,28017,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.g,OTB_DEF_>=120_0_0_all,350,fd,15253,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.g,OTB_DEF_>=120_0_0_all,199,fd,8283,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_>=120_0_0_all,356,fd,8324,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.j,OTB_DEF_>=120_0_0_all,2804,fd,191289,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.k,OTB_DEF_>=120_0_0_all,9,fd,320,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.k,OTB_DEF_70-99_0_0_all,54,fd,5182,Landings,"A-All - reported, nonre",Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,OTM_DEF_70-99_0_0_all,55798,kWd,6823.75,Landings,R-Reported,Imported
