"value","year","sc","cod.27.7e-k","had.27.7b-k","meg.27.7b-k8abd","mon.27.78abd","sol.27.7fg","whg.27.7b-ce-k","nep.fu.16","nep.fu.17","nep.fu.19","nep.fu.2021","nep.fu.22","nep.out.7"
"catches",2021,"min",0,0,0,0,0,0,0,0,0,0,0,0
"catches",2021,"sq_E",2787,21413,21130,34467,1391,9750,3193.25642966784,225.335588128109,212.455770483411,1573.564660818,1345.27549317292,141.04716754973
"catches",2021,"val",2631,19787,19925,32785,1364,8916,3542.9780075076,194.259699281365,180.091255629696,1382.59949064416,1331.24090385237,142.797504870178
"catches",2021,"whg.27.7b-ce-k",1669,10815,10355,17808,459,5263,2180.70451229815,119.454423825994,109.253369072121,795.429240378195,826.622533279023,86.8147049861855
"ssb",2020,"baseline",1587,66461,106654,68952,6286,30976,NA,NA,NA,NA,NA,NA
"ssb",2021,"baseline",2942,71490,110436,72213,6194,32029,NA,NA,NA,NA,NA,NA
"ssb",2021,"sq_E",2942,71192,110436,72213,6194,32083,NA,NA,NA,NA,NA,NA
"ssb",2022,"cod_fmsy",5272,88126,132074,99861,7273,40676,NA,NA,NA,NA,NA,NA
"ssb",2022,"had.27.7b-k",2410,70322,116707,84203,6750,34615,NA,NA,NA,NA,NA,NA
"ssb",2022,"max",995,55502,88260,62655,4769,30700,NA,NA,NA,NA,NA,NA
"ssb",2022,"min",6076,91652,134821,102907,7462,41993,NA,NA,NA,NA,NA,NA
"ssb",2022,"sq_E",2082,66226,112265,80486,6024,33794,NA,NA,NA,NA,NA,NA
"ssb",2022,"val",2296,68542,113545,81569,6051,34420,NA,NA,NA,NA,NA,NA
"ssb",2022,"whg.27.7b-ce-k",3642,79072,123738,91264,6987,37445,NA,NA,NA,NA,NA,NA
