Stock,Year,match_level_land,landings,Stock_landings
nep.fu.17,2019,Stock,157.855,166.5352
nep.fu.19,2009,Stock,761.9931,NA
nep.fu.19,2010,Stock,626.1294,NA
nep.fu.19,2011,Stock,589.1855,642.999
nep.fu.19,2012,Stock,784.3725,849.07
nep.fu.19,2013,Stock,752.7311,793.784
nep.fu.19,2014,Stock,452.5112,467.621
nep.fu.19,2015,Stock,521.18801,506.9137339
nep.fu.19,2016,Stock,664.38176,590.2655874
nep.fu.19,2017,Stock,346.295267525211,419.9616528
nep.fu.19,2018,Stock,166.38782,238.2509
nep.fu.19,2019,Stock,183.25185,249.43174
nep.fu.2021,2009,Stock,1308.2064,NA
nep.fu.2021,2010,Stock,759.9524,NA
nep.fu.2021,2011,Stock,671.2664,NA
nep.fu.2021,2012,Stock,824.221,NA
nep.fu.2021,2013,Stock,1016.1178,1387
nep.fu.2021,2014,Stock,1398.9519,1836
nep.fu.2021,2015,Stock,2140.54669,2116
nep.fu.2021,2016,Stock,2513.8157,2452.519
nep.fu.2021,2017,Stock,1811.68461560875,1849.277857
nep.fu.2021,2018,Stock,1800.62259,1802.6034
nep.fu.2021,2019,Stock,2607.35425,2998.9756
nep.fu.22,2009,Stock,1772.3702,2185.134251
nep.fu.22,2010,Stock,2331.1755,2714.4298
nep.fu.22,2011,Stock,1551.951,1636.438324
nep.fu.22,2012,Stock,2566.4365,2617.678906
nep.fu.22,2013,Stock,2081.4419,2256.74081
nep.fu.22,2014,Stock,2489.3135,2525.9989
nep.fu.22,2015,Stock,2217.97067,2349.571098
nep.fu.22,2016,Stock,3430.36657,3329.147757
nep.fu.22,2017,Stock,3521.26516812209,3560.159467
nep.fu.22,2018,Stock,1921.25303,1974.4871
nep.fu.22,2019,Stock,1938.96457,2083.079
nep.out.7,2009,Stock,102.3221,326
nep.out.7,2010,Stock,93.6386,366
nep.out.7,2011,Stock,125.7673,123
nep.out.7,2012,Stock,142.5757,353
nep.out.7,2013,Stock,129.943,204
nep.out.7,2014,Stock,146.6967,174
nep.out.7,2015,Stock,278.80746,80
nep.out.7,2016,Stock,466.99371,118
nep.out.7,2017,Stock,353.832799707563,137
nep.out.7,2018,Stock,202.88657,200
nep.out.7,2019,Stock,149.87916,242
sol.27.7fg,2009,Area_Metier,570.04514,778.472666666667
sol.27.7fg,2009,Stock,208.8175,778.472666666667
sol.27.7fg,2010,Area_Metier,646.917589999999,873.158166666667
sol.27.7fg,2010,Stock,224.5122,873.158166666667
sol.27.7fg,2011,Area_Metier,687.89854,1033.149
sol.27.7fg,2011,Stock,346.6748,1033.149
sol.27.7fg,2012,Area_Metier,790.57522,1105.735
sol.27.7fg,2012,Stock,309.2331,1105.735
sol.27.7fg,2013,Area_Metier,778.33461,1093.492
sol.27.7fg,2013,Stock,311.9797,1093.492
sol.27.7fg,2014,Area_Metier,860.187,1038.9425
sol.27.7fg,2014,Stock,180.9356,1038.9425
sol.27.7fg,2015,Area_Metier,642.3656,835.250166666667
sol.27.7fg,2015,Stock,188.0993,835.250166666667
sol.27.7fg,2016,Area_Metier,631.05112,831.955333333333
sol.27.7fg,2016,Stock,201.1245,831.955333333333
sol.27.7fg,2017,Area_Metier,516.81892,779.410333333333
sol.27.7fg,2017,Stock,260.8173,779.410333333333
sol.27.7fg,2018,Area_Metier,596.646169999999,851.961333333333
sol.27.7fg,2018,Stock,252.3122,851.961333333333
sol.27.7fg,2019,Area_Metier,704.589780000001,1067.31333333333
sol.27.7fg,2019,Stock,364.004,1067.31333333333
whg.27.7b-ce-k,2009,Metier,6541.07075999999,6526.37197706
whg.27.7b-ce-k,2009,Stock,13.98021,6526.37197706
whg.27.7b-ce-k,2010,Metier,8630.79971,9372.44924985
whg.27.7b-ce-k,2010,Stock,886.60669,9372.44924985
whg.27.7b-ce-k,2011,Metier,9556.59011,9617.59284695
whg.27.7b-ce-k,2011,Stock,513.20678,9617.59284695
whg.27.7b-ce-k,2012,Metier,10710.21635,9854.7987786
whg.27.7b-ce-k,2012,Stock,76.13798,9854.7987786
whg.27.7b-ce-k,2013,Metier,12031.38914,11096.55217761
whg.27.7b-ce-k,2013,Stock,86.828,11096.55217761
whg.27.7b-ce-k,2014,Metier,12897.53802,12587.31630067
whg.27.7b-ce-k,2014,Stock,42.22006,12587.31630067
whg.27.7b-ce-k,2015,Metier,12873.17218,12760.11286867
whg.27.7b-ce-k,2015,Stock,291.32307,12760.11286867
whg.27.7b-ce-k,2016,Metier,14359.52192,15018.65650588
whg.27.7b-ce-k,2016,Stock,783.784690000001,15018.65650588
whg.27.7b-ce-k,2017,Metier,12192.88764,12286.05301028
whg.27.7b-ce-k,2017,Stock,184.72754,12286.05301028
whg.27.7b-ce-k,2018,Metier,8908.13564999999,8951.82575538
whg.27.7b-ce-k,2018,Stock,53.151799999,8951.82575538
whg.27.7b-ce-k,2019,Metier,6545.18171,5543.09909078
whg.27.7b-ce-k,2019,Stock,41.3910299999999,5543.09909078
