year,country,metier,area,Eff,Lan,matchTo
2009,GE,GNS_DEF_all_0_0_all,3AN,x,x,
2009,GE,GNS_DEF_all_0_0_all,4,x,x,
2009,GE,MIS_MIS_0_0_0_HC,3AN,x,x,
2009,GE,MIS_MIS_0_0_0_HC,4,x,x,
2009,GE,MIS_MIS_0_0_0_HC,6A,x,x,
2009,GE,OTB_CRU_16-31_0_0_all,3AN,x,x,
2009,GE,OTB_CRU_16-31_0_0_all,4,x,x,
2009,GE,OTB_CRU_32-69_0_0_all,3AN,x,x,
2009,GE,OTB_CRU_70-99_0_0_all,4,x,x,
2009,GE,OTB_CRU_90-119_0_0_all,3AN,x,x,
2009,GE,OTB_DEF_70-99_0_0_all,4,x,x,
2009,GE,OTB_DEF_>=120_0_0_all,3AN,x,x,
2009,GE,OTB_DEF_>=120_0_0_all,4,x,x,
2009,GE,OTB_DEF_>=120_0_0_all,6A,x,x,
2009,GE,OTB_SPF_32-69_0_0_all,4,x,x,
2009,GE,OTB_SPF_32-69_0_0_all,7D,x,x,
2009,GE,SSC_DEF_70-99_0_0_all,4,x,x,
2009,GE,SSC_DEF_>=120_0_0_all,3AN,x,x,
2009,GE,SSC_DEF_>=120_0_0_all,4,x,x,
2009,GE,TBB_CRU_16-31_0_0_all,4,x,x,
2009,GE,TBB_DEF_70-99_0_0_all,4,x,x,
2009,GE,active,3AN,x,x,
2009,NL,HMD_MOL_0_0_0_all,4,x,NA,
2009,NL,MIS_MIS_0_0_0_HC,4,x,x,
2009,NL,MIS_MIS_0_0_0_HC,6A,x,x,
2009,NL,MIS_MIS_0_0_0_HC,7D,x,x,
2009,NL,OTB_DEF_100-119_0_0_all,4,x,x,
2009,NL,OTB_DEF_16-31_0_0_all,4,x,x,
2009,NL,OTB_DEF_32-69_0_0_all,4,x,x,
2009,NL,OTB_DEF_70-99_0_0_all,4,x,x,
2009,NL,OTB_DEF_70-99_0_0_all,7D,x,x,
2009,NL,OTB_DEF_90-119_0_0_all,3AN,x,x,
2009,NL,OTB_DEF_>=120_0_0_all,3AN,x,x,
2009,NL,OTB_DEF_>=120_0_0_all,4,x,x,
2009,NL,OTB_MCD_>=55_0_0,4,NA,x,MIS_MIS_0_0_0_HC
2009,NL,OTM_SPF_32-69_0_0_all,4,x,x,
2009,NL,OTM_SPF_32-69_0_0_all,6A,x,x,
2009,NL,OTM_SPF_32-69_0_0_all,7D,x,x,
2009,NL,SDN_all_0_0_all,4,x,x,
2009,NL,SDN_all_0_0_all,7D,x,x,
2009,NL,SSC_DEF_all_0_0_all,4,x,x,
2009,NL,SSC_DEF_all_0_0_all,7D,x,x,
2009,NL,TBB_CRU_16-31_0_0_all,4,x,x,
2009,NL,TBB_DEF_100-119_0_0_all,3AN,x,x,
2009,NL,TBB_DEF_100-119_0_0_all,4,x,x,
2009,NL,TBB_DEF_16-31_0_0_all,4,NA,x,MIS_MIS_0_0_0_HC
2009,NL,TBB_DEF_70-99_0_0_all,4,x,x,
2009,NL,TBB_DEF_70-99_0_0_all,7D,x,x,
2009,NL,TBB_DEF_90-119_0_0_all,3AN,x,x,
2009,NL,TBB_DEF_90-119_0_0_all,4,x,x,
2009,NL,TBB_DEF_<16_0_0_all,4,NA,x,MIS_MIS_0_0_0_HC
2009,NL,TBB_DEF_>=120_0_0_all,3AN,x,x,
2009,NL,TBB_DEF_>=120_0_0_all,4,x,x,
2009,NL,TBB_MCD_70-99_0_0_all,4,NA,x,MIS_MIS_0_0_0_HC
2009,SC,FPO_CRU_0_0_0_all,4,x,x,
2009,SC,FPO_CRU_0_0_0_all,6A,x,x,
2009,SC,GNS_DEF_all_0_0_all,4,x,x,
2009,SC,LLS_FIF_0_0_0_all,4,x,x,
2009,SC,LLS_FIF_0_0_0_all,6A,x,x,
2009,SC,MIS_MIS_0_0_0_HC,4,x,x,
2009,SC,MIS_MIS_0_0_0_HC,6A,x,x,
2009,SC,MIS_MIS_0_0_0_HC,7D,x,x,
2009,SC,OTB_CRU_16-31_0_0_all,4,x,x,
2009,SC,OTB_CRU_16-31_0_0_all,6A,x,x,
2009,SC,OTB_CRU_70-99_0_0_all,4,x,x,
2009,SC,OTB_CRU_70-99_0_0_all,6A,x,x,
2009,SC,OTB_CRU_70-99_0_0_all,7D,x,x,
2009,SC,OTB_DEF_>=120_0_0_all,4,x,x,
2009,SC,OTB_DEF_>=120_0_0_all,6A,x,x,
2009,SC,TBB_DEF_70-99_0_0_all,4,x,x,
2009,SC,TBB_DEF_70-99_0_0_all,7D,x,x,
2009,SC,TBB_DEF_>=120_0_0_all,4,x,x,
2010,BE,GNS_DEF_120-219_0_0_all,4,x,x,
2010,BE,GNS_DEF_>=220_0_0_all,4,x,x,
2010,BE,GNS_DEF_all_0_0_all,4,x,x,
2010,BE,GNS_DEF_all_0_0_all,7D,x,x,
2010,BE,GTR_DEF_all_0_0_all,4,x,x,
2010,BE,GTR_DEF_all_0_0_all,7D,x,x,
2010,BE,MIS_MIS_0_0_0_HC,4,x,x,
2010,BE,MIS_MIS_0_0_0_HC,7D,x,x,
2010,BE,OTB_CRU_16-31_0_0_all,4,x,x,
2010,BE,OTB_CRU_70-99_0_0_all,4,x,x,
2010,BE,OTB_CRU_70-99_0_0_all,6A,x,x,
2010,BE,OTB_CRU_70-99_0_0_all,7D,x,x,
2010,BE,OTB_DEF_100-119_0_0_all,4,x,x,
2010,BE,OTB_DEF_70-99_0_0_all,4,x,x,
2010,BE,OTB_DEF_>=120_0_0_all,4,x,x,
2010,BE,SSC_DEF_100-119_0_0_all,4,x,x,
2010,BE,SSC_DEF_100-119_0_0_all,7D,x,x,
2010,BE,SSC_DEF_70-99_0_0_all,4,x,x,
2010,BE,SSC_DEF_70-99_0_0_all,7D,x,x,
2010,BE,TBB_CRU_16-31_0_0_all,4,x,x,
2010,BE,TBB_DEF_100-119_0_0_all,4,x,x,
2010,BE,TBB_DEF_70-99_0_0_all,4,x,x,
2010,BE,TBB_DEF_70-99_0_0_all,7D,x,x,
2010,BE,TBB_DEF_>=120_0_0_all,4,x,x,
2010,DK,FPO_CRU_>0_0_0_all,4,x,x,
2010,DK,GNS_DEF_100-119_0_0_all,3AN,x,x,
2010,DK,GNS_DEF_100-119_0_0_all,4,x,x,
2010,DK,GNS_DEF_120-219_0_0_all,3AN,x,x,
2010,DK,GNS_DEF_120-219_0_0_all,4,x,x,
2010,DK,GNS_DEF_120-219_0_0_all_FDF,3AN,x,x,
2010,DK,GNS_DEF_120-219_0_0_all_FDF,4,x,x,
2010,DK,GNS_DEF_>=220_0_0_all,3AN,x,x,
2010,DK,GNS_DEF_>=220_0_0_all,4,x,x,
2010,DK,LLS_FIF_0_0_0_all,3AN,x,x,
2010,DK,LLS_FIF_0_0_0_all,4,x,x,
2010,DK,MIS_MIS_0_0_0_HC,3AN,x,x,
2010,DK,MIS_MIS_0_0_0_HC,4,x,x,
2010,DK,MIS_MIS_0_0_0_IBC,3AN,x,x,
2010,DK,MIS_MIS_0_0_0_IBC,4,x,x,
2010,DK,OTB_CRU_16-31_0_0_all,3AN,x,x,
2010,DK,OTB_CRU_32-69_0_0_all,3AN,x,x,
2010,DK,OTB_CRU_32-69_0_0_all,4,x,x,
2010,DK,OTB_CRU_70-89_2_35_all,3AN,x,x,
2010,DK,OTB_CRU_70-99_0_0_all,4,x,x,
2010,DK,OTB_CRU_90-119_0_0_all,3AN,x,x,
2010,DK,OTB_CRU_90-119_0_0_all_FDF,3AN,x,x,
2010,DK,OTB_DEF_>=120_0_0_all,3AN,x,x,
2010,DK,OTB_DEF_>=120_0_0_all,4,x,x,
2010,DK,OTB_DEF_>=120_0_0_all_FDF,3AN,x,x,
2010,DK,OTB_DEF_>=120_0_0_all_FDF,4,x,x,
2010,DK,OTB_SPF_32-69_0_0_all,3AN,x,x,
2010,DK,OTB_SPF_32-69_0_0_all,4,x,x,
2010,DK,SDN_DEF_>=120_0_0_all,3AN,x,x,
2010,DK,SDN_DEF_>=120_0_0_all,4,x,x,
2010,DK,SSC_DEF_>=120_0_0_all,3AN,x,x,
2010,DK,SSC_DEF_>=120_0_0_all,4,x,x,
2010,DK,TBB_CRU_16-31_0_0_all,4,x,x,
2010,DK,TBB_DEF_90-99_0_0_all,3AN,x,NA,
2010,DK,TBB_DEF_>=120_0_0_all,3AN,x,x,
2010,DK,TBB_DEF_>=120_0_0_all,4,x,x,
2010,EN,FPO_CRU_0_0_0_all,4,x,x,
2010,EN,FPO_CRU_0_0_0_all,7D,x,x,
2010,EN,GNS_DEF_all_0_0_all,4,x,x,
2010,EN,GNS_DEF_all_0_0_all,7D,x,x,
2010,EN,GTR_DEF_all_0_0_all,4,x,x,
2010,EN,GTR_DEF_all_0_0_all,7D,x,x,
2010,EN,LLS_FIF_0_0_0_all,4,x,x,
2010,EN,LLS_FIF_0_0_0_all,7D,x,x,
2010,EN,MIS_MIS_0_0_0_HC,4,x,x,
2010,EN,MIS_MIS_0_0_0_HC,7D,x,x,
2010,EN,OTB_CRU_100-119_0_0_all,4,x,x,
2010,EN,OTB_CRU_100-119_0_0_all,7D,x,x,
2010,EN,OTB_CRU_16-31_0_0_all,4,x,x,
2010,EN,OTB_CRU_16-31_0_0_all,7D,x,x,
2010,EN,OTB_CRU_32-69_0_0_all,4,x,x,
2010,EN,OTB_CRU_70-99_0_0_all,4,x,x,
2010,EN,OTB_CRU_70-99_0_0_all,6A,x,x,
2010,EN,OTB_CRU_70-99_0_0_all,7D,x,x,
2010,EN,OTB_DEF_70-99_0_0_all,4,x,x,
2010,EN,OTB_DEF_70-99_0_0_all,6A,x,x,
2010,EN,OTB_DEF_70-99_0_0_all,7D,x,x,
2010,EN,OTB_DEF_>=120_0_0_all,4,x,x,
2010,EN,OTB_DEF_>=120_0_0_all,7D,x,x,
2010,EN,OTM_CRU_16-31_0_0_all,4,x,x,
2010,EN,OTM_SPF_32-69_0_0_all,4,x,x,
2010,EN,OTM_SPF_32-69_0_0_all,6A,x,x,
2010,EN,OTM_SPF_32-69_0_0_all,7D,x,x,
2010,EN,SDN_all_0_0_all,4,x,x,
2010,EN,SSC_DEF_all_0_0_all,4,x,x,
2010,EN,SSC_DEF_all_0_0_all,7D,x,x,
2010,EN,TBB_CRU_16-31_0_0_all,4,x,x,
2010,EN,TBB_CRU_16-31_0_0_all,7D,x,x,
2010,EN,TBB_DEF_70-99_0_0_all,4,x,x,
2010,EN,TBB_DEF_70-99_0_0_all,7D,x,x,
2010,EN,TBB_DEF_>=120_0_0_all,4,x,x,
2010,GE,FPO_CRU_0_0_0_all,6A,x,x,
2010,GE,GNS_DEF_100-119_0_0_all,4,x,x,
2010,GE,GNS_DEF_120-219_0_0_all,4,x,x,
2010,GE,GNS_DEF_>=220_0_0_all,4,x,x,
2010,GE,GNS_DEF_>=220_0_0_all,6A,x,x,
2010,GE,GNS_DEF_all_0_0_all,3AN,x,x,
2010,GE,GNS_DEF_all_0_0_all,4,x,x,
2010,GE,LLS_FIF_0_0_0_all,4,x,x,
2010,GE,MIS_MIS_0_0_0_HC,4,x,x,
2010,GE,MIS_MIS_0_0_0_HC,6A,x,x,
2010,GE,MIS_MIS_0_0_0_IBC,4,x,x,
2010,GE,OTB_CRU_16-31_0_0_all,3AN,x,x,
2010,GE,OTB_CRU_16-31_0_0_all,4,x,x,
2010,GE,OTB_CRU_32-69_0_0_all,3AN,x,x,
2010,GE,OTB_CRU_70-99_0_0_all,3AN,x,x,
2010,GE,OTB_CRU_70-99_0_0_all,4,x,x,
2010,GE,OTB_CRU_90-119_0_0_all,3AN,x,x,
2010,GE,OTB_DEF_70-99_0_0_all,4,x,x,
2010,GE,OTB_DEF_>=120_0_0_all,3AN,x,x,
2010,GE,OTB_DEF_>=120_0_0_all,4,x,x,
2010,GE,OTB_DEF_>=120_0_0_all,6A,x,x,
2010,GE,OTB_SPF_32-69_0_0_all,4,x,x,
2010,GE,OTB_SPF_32-69_0_0_all,7D,x,x,
2010,GE,SSC_DEF_>=120_0_0_all,3AN,x,x,
2010,GE,SSC_DEF_>=120_0_0_all,4,x,x,
2010,GE,TBB_CRU_16-31_0_0_all,4,x,x,
2010,GE,TBB_DEF_70-99_0_0_all,4,x,x,
2010,GE,TBB_DEF_>=120_0_0_all,4,x,x,
2010,GE,active,3AN,x,x,
2010,NL,GND_DEF_100-119_0_0_all,4,x,x,
2010,NL,HMD_MOL_0_0_0_all,4,x,NA,
2010,NL,MIS_MIS_0_0_0_HC,3AN,x,x,
2010,NL,MIS_MIS_0_0_0_HC,4,x,x,
2010,NL,MIS_MIS_0_0_0_HC,6A,x,x,
2010,NL,MIS_MIS_0_0_0_HC,7D,x,x,
2010,NL,OTB_DEF_100-119_0_0_all,3AN,x,x,
2010,NL,OTB_DEF_100-119_0_0_all,4,x,x,
2010,NL,OTB_DEF_16-31_0_0_all,4,x,x,
2010,NL,OTB_DEF_70-99_0_0_all,3AN,x,x,
2010,NL,OTB_DEF_70-99_0_0_all,4,x,x,
2010,NL,OTB_DEF_70-99_0_0_all,7D,x,x,
2010,NL,OTB_DEF_90-119_0_0_all,3AN,x,x,
2010,NL,OTB_DEF_90-119_0_0_all,4,x,x,
2010,NL,OTB_DEF_>=120_0_0_all,3AN,x,x,
2010,NL,OTB_DEF_>=120_0_0_all,4,x,x,
2010,NL,OTB_MCD_>=55_0_0,3AN,NA,x,MIS_MIS_0_0_0_HC
2010,NL,OTB_MCD_>=55_0_0,4,NA,x,MIS_MIS_0_0_0_HC
2010,NL,OTM_SPF_32-69_0_0_all,3AN,x,x,
2010,NL,OTM_SPF_32-69_0_0_all,4,x,x,
2010,NL,OTM_SPF_32-69_0_0_all,6A,x,x,
2010,NL,OTM_SPF_32-69_0_0_all,7D,x,x,
2010,NL,SDN_all_0_0_all,4,x,x,
2010,NL,SDN_all_0_0_all,7D,x,x,
2010,NL,SSC_DEF_all_0_0_all,3AN,x,x,
2010,NL,SSC_DEF_all_0_0_all,4,x,x,
2010,NL,SSC_DEF_all_0_0_all,7D,x,x,
2010,NL,TBB_CRU_16-31_0_0_all,4,x,x,
2010,NL,TBB_DEF_100-119_0_0_all,3AN,x,x,
2010,NL,TBB_DEF_100-119_0_0_all,4,x,x,
2010,NL,TBB_DEF_16-31_0_0_all,4,NA,x,MIS_MIS_0_0_0_HC
2010,NL,TBB_DEF_70-89_0_0_all,3AN,x,x,
2010,NL,TBB_DEF_70-89_0_0_all,4,x,x,
2010,NL,TBB_DEF_70-99_0_0_all,3AN,x,x,
2010,NL,TBB_DEF_70-99_0_0_all,4,x,x,
2010,NL,TBB_DEF_70-99_0_0_all,7D,x,x,
2010,NL,TBB_DEF_90-119_0_0_all,3AN,x,x,
2010,NL,TBB_DEF_90-119_0_0_all,4,x,x,
2010,NL,TBB_DEF_>=120_0_0_all,3AN,x,x,
2010,NL,TBB_DEF_>=120_0_0_all,4,x,x,
2010,NL,TBB_DEF_>=120_0_0_all,7D,x,x,
2010,SC,FPO_CRU_0_0_0_all,4,x,x,
2010,SC,FPO_CRU_0_0_0_all,6A,x,x,
2010,SC,GNS_DEF_all_0_0_all,4,x,x,
2010,SC,GNS_DEF_all_0_0_all,6A,x,x,
2010,SC,GTR_DEF_all_0_0_all,6A,x,x,
2010,SC,LLS_FIF_0_0_0_all,4,x,x,
2010,SC,LLS_FIF_0_0_0_all,6A,x,x,
2010,SC,MIS_MIS_0_0_0_HC,4,x,x,
2010,SC,MIS_MIS_0_0_0_HC,6A,x,x,
2010,SC,MIS_MIS_0_0_0_HC,7D,x,x,
2010,SC,OTB_CRU_16-31_0_0_all,4,x,x,
2010,SC,OTB_CRU_16-31_0_0_all,6A,x,x,
2010,SC,OTB_CRU_70-99_0_0_all,4,x,x,
2010,SC,OTB_CRU_70-99_0_0_all,6A,x,x,
2010,SC,OTB_CRU_70-99_0_0_all,7D,x,x,
2010,SC,OTB_CRU_70-99_0_0_all_FDF,4,x,x,
2010,SC,OTB_DEF_>=120_0_0_all,4,x,x,
2010,SC,OTB_DEF_>=120_0_0_all,6A,x,x,
2010,SC,OTB_DEF_>=120_0_0_all_FDF,4,x,x,
2010,SC,TBB_DEF_70-99_0_0_all,4,x,x,
2010,SC,TBB_DEF_>=120_0_0_all,4,x,x,
2011,BE,GNS_DEF_120-219_0_0_all,4,x,x,
2011,BE,GNS_DEF_>=220_0_0_all,4,x,x,
2011,BE,GNS_DEF_all_0_0_all,4,x,x,
2011,BE,GTR_DEF_all_0_0_all,4,x,x,
2011,BE,GTR_DEF_all_0_0_all,7D,x,x,
2011,BE,MIS_MIS_0_0_0_HC,4,x,x,
2011,BE,MIS_MIS_0_0_0_HC,7D,x,x,
2011,BE,OTB_CRU_70-99_0_0_all,4,x,x,
2011,BE,OTB_CRU_70-99_0_0_all,7D,x,x,
2011,BE,OTB_DEF_100-119_0_0_all,4,x,x,
2011,BE,OTB_DEF_70-99_0_0_all,4,x,x,
2011,BE,OTB_DEF_>=120_0_0_all,4,x,x,
2011,BE,SSC_DEF_100-119_0_0_all,4,x,x,
2011,BE,SSC_DEF_100-119_0_0_all,7D,x,x,
2011,BE,SSC_DEF_70-99_0_0_all,4,x,x,
2011,BE,SSC_DEF_70-99_0_0_all,7D,x,x,
2011,BE,SSC_DEF_>=120_0_0_all,4,x,x,
2011,BE,TBB_CRU_16-31_0_0_all,4,x,x,
2011,BE,TBB_DEF_100-119_0_0_all,4,x,x,
2011,BE,TBB_DEF_70-99_0_0_all,4,x,x,
2011,BE,TBB_DEF_70-99_0_0_all,7D,x,x,
2011,BE,TBB_DEF_>=120_0_0_all,4,x,x,
2011,DK,FPO_CRU_>0_0_0_all,4,x,x,
2011,DK,GNS_DEF_100-119_0_0_all,3AN,x,x,
2011,DK,GNS_DEF_100-119_0_0_all,4,x,x,
2011,DK,GNS_DEF_120-219_0_0_all,3AN,x,x,
2011,DK,GNS_DEF_120-219_0_0_all,4,x,x,
2011,DK,GNS_DEF_120-219_0_0_all_FDF,3AN,x,x,
2011,DK,GNS_DEF_120-219_0_0_all_FDF,4,x,x,
2011,DK,GNS_DEF_>=220_0_0_all,3AN,x,x,
2011,DK,GNS_DEF_>=220_0_0_all,4,x,x,
2011,DK,LLS_FIF_0_0_0_all,3AN,x,x,
2011,DK,LLS_FIF_0_0_0_all,4,x,x,
2011,DK,LLS_FIF_0_0_0_all_FDF,3AN,x,NA,
2011,DK,LLS_FIF_0_0_0_all_FDF,4,x,NA,
2011,DK,MIS_MIS_0_0_0_HC,3AN,x,x,
2011,DK,MIS_MIS_0_0_0_HC,4,x,x,
2011,DK,MIS_MIS_0_0_0_IBC,3AN,x,x,
2011,DK,MIS_MIS_0_0_0_IBC,4,x,x,
2011,DK,OTB_CRU_32-69_0_0_all,3AN,x,x,
2011,DK,OTB_CRU_32-69_0_0_all,4,x,x,
2011,DK,OTB_CRU_70-89_2_35_all,3AN,x,x,
2011,DK,OTB_CRU_70-99_0_0_all,4,x,x,
2011,DK,OTB_CRU_70-99_0_0_all_FDF,4,x,x,
2011,DK,OTB_CRU_90-119_0_0_all,3AN,x,x,
2011,DK,OTB_CRU_90-119_0_0_all_FDF,3AN,x,x,
2011,DK,OTB_DEF_>=120_0_0_all,3AN,x,x,
2011,DK,OTB_DEF_>=120_0_0_all,4,x,x,
2011,DK,OTB_DEF_>=120_0_0_all_FDF,3AN,x,x,
2011,DK,OTB_DEF_>=120_0_0_all_FDF,4,x,x,
2011,DK,OTB_SPF_32-69_0_0_all,3AN,x,x,
2011,DK,OTB_SPF_32-69_0_0_all,4,x,x,
2011,DK,OTB_SPF_32-69_0_0_all,6A,x,x,
2011,DK,OTB_SPF_32-69_0_0_all,7D,x,x,
2011,DK,SDN_DEF_>=120_0_0_all,3AN,x,x,
2011,DK,SDN_DEF_>=120_0_0_all,4,x,x,
2011,DK,SDN_DEF_>=120_0_0_all_FDF,3AN,x,x,
2011,DK,SDN_DEF_>=120_0_0_all_FDF,4,x,x,
2011,DK,SSC_DEF_>=120_0_0_all,3AN,x,x,
2011,DK,SSC_DEF_>=120_0_0_all,4,x,x,
2011,DK,SSC_DEF_>=120_0_0_all_FDF,3AN,x,x,
2011,DK,SSC_DEF_>=120_0_0_all_FDF,4,x,x,
2011,DK,TBB_CRU_16-31_0_0_all,4,x,x,
2011,DK,TBB_DEF_>=120_0_0_all,3AN,x,x,
2011,DK,TBB_DEF_>=120_0_0_all,4,x,x,
2011,EN,FPO_CRU_0_0_0_all,4,x,x,
2011,EN,FPO_CRU_0_0_0_all,6A,x,x,
2011,EN,FPO_CRU_0_0_0_all,7D,x,x,
2011,EN,GNS_DEF_all_0_0_all,4,x,x,
2011,EN,GNS_DEF_all_0_0_all,7D,x,x,
2011,EN,GTR_DEF_all_0_0_all,4,x,x,
2011,EN,GTR_DEF_all_0_0_all,7D,x,x,
2011,EN,LLS_FIF_0_0_0_all,4,x,x,
2011,EN,LLS_FIF_0_0_0_all,7D,x,x,
2011,EN,MIS_MIS_0_0_0_HC,4,x,x,
2011,EN,MIS_MIS_0_0_0_HC,6A,x,x,
2011,EN,MIS_MIS_0_0_0_HC,7D,x,x,
2011,EN,OTB_CRU_100-119_0_0_all,4,x,x,
2011,EN,OTB_CRU_100-119_0_0_all,7D,x,x,
2011,EN,OTB_CRU_16-31_0_0_all,4,x,x,
2011,EN,OTB_CRU_16-31_0_0_all,7D,x,x,
2011,EN,OTB_CRU_70-99_0_0_all,4,x,x,
2011,EN,OTB_CRU_70-99_0_0_all,6A,x,x,
2011,EN,OTB_CRU_70-99_0_0_all,7D,x,x,
2011,EN,OTB_DEF_70-99_0_0_all,4,x,x,
2011,EN,OTB_DEF_70-99_0_0_all,6A,x,x,
2011,EN,OTB_DEF_70-99_0_0_all,7D,x,x,
2011,EN,OTB_DEF_>=120_0_0_all,3AN,x,x,
2011,EN,OTB_DEF_>=120_0_0_all,4,x,x,
